id,level,jurisdiction,title,summary,takeaway,instrument,status,date,source_url,verified_at,state,source_label,source_tier,date_precision
hi-statute-baseline,state,Hawaii,Act 21 · AV testing pilot,Act 21 (2020) established a state AV testing pilot with an onboard human driver and a report to the 2023 legislature. It did not grant broad driverless commercial authority.,Act 21 (2020) established a state AV testing pilot with an onboard human driver and a report to the 2023 legislature,legislation,historical_status_unverified,2020-09-15,https://data.capitol.hawaii.gov/sessions/sessionlaws/Years/SLH2020/SLH2020_Act21.pdf,2026-09-23,HI,Hawaii Act 21 (2020),primary,day
id-eo-2018,state,Idaho,Idaho Executive Order 2018-01,"Created a committee to study controlled testing and operation, not a statewide operating permit.","Created a committee to study controlled testing and operation, not a statewide operating permit",executive_order,historical_status_unverified,2018-01-02,https://proddfmmainsa.blob.core.windows.net/dfm-admin-website/rules/2018%20Archive/ExOs/2018-01_ExOr_18-2.pdf,2026-09-23,ID,Idaho Executive Order 2018-01,primary,
il-statute-baseline,state,Illinois,Enacted AV Statute · Current Framework,"Illinois law limits local governments' ability to prohibit AVs, but that rule alone does not establish a statewide permit or demonstrate an active commercial service.","Illinois law limits local governments' ability to prohibit AVs, but that rule alone does not establish a statewide permit or demonstrate an active commercial service",legislation,in_effect,,https://www.ilga.gov/legislation/ilcs/fulltext?DocName=062500050K11-208,2026-09-23,IL,Illinois Vehicle Code § 11-208(e-10),primary,undetermined
il-eo-2018,state,Illinois,Illinois Executive Order 2018-13,Established the Autonomous Illinois initiative and a voluntary testing program with an onboard licensed driver.,Established the Autonomous Illinois initiative and a voluntary testing program with an onboard licensed driver,executive_order,historical_status_unverified,2018-10-25,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-13.2018.html,2026-09-23,IL,Illinois Executive Order 2018-13,primary,
ia-statute-baseline,state,Iowa,Enacted AV Statute · Current Framework,"Iowa's statute addresses operation of automated driving systems. Multiple proposed 2026 changes failed, so those proposals should not be counted as current conditions.",Iowa's statute addresses operation of automated driving systems,legislation,in_effect,,https://www.legis.iowa.gov/docs/code/321.514.pdf,2026-09-23,IA,Iowa Code § 321.514,primary,undetermined
ks-statute-baseline,state,Kansas,Enacted AV Statute · Current Framework,Kansas law accommodates private and commercial AV operation subject to statutory conditions. This permission says nothing about a particular company's ODD.,Kansas law accommodates private and commercial AV operation subject to statutory conditions,legislation,in_effect,,https://www.kslegislature.gov/b2025_26/laws/008_000_0000_chapter/008_029_0000_article/008_029_0002_section/008_029_0002_k/,2026-09-23,KS,Kansas Statutes § 8-2902,primary,undetermined
ky-statute-baseline,state,Kentucky,Enacted AV Statute · Current Framework,Kentucky's AV framework took effect in 2024. The survey reports that a temporary onboard-driver rule for very heavy commercial vehicles expired in August 2026 after an extension failed.,Kentucky's AV framework took effect in 2024,legislation,in_effect,,https://apps.legislature.ky.gov/record/24rs/hb7.html,2026-09-23,KY,Kentucky HB 7 (2024),primary,undetermined
la-statute-baseline,state,Louisiana,Enacted AV Statute · Current Framework,Louisiana's dedicated AV operating provisions focus on commercial uses. Passenger service cannot be inferred from that freight-oriented authority.,Louisiana's dedicated AV operating provisions focus on commercial uses,legislation,in_effect,,https://www.legis.la.gov/legis/LawPrint.aspx?d=1148308,2026-09-23,LA,Louisiana Revised Statutes § 32:400.3,primary,undetermined
me-statute-baseline,state,Maine,Enacted AV Statute · Current Framework,Maine authorizes transportation officials to establish AV pilot activity. The guide does not describe a broad commercial robotaxi approval regime.,Maine authorizes transportation officials to establish AV pilot activity,legislation,in_effect,,https://www.legislature.maine.gov/legis/bills/bills_128th/chapters/RESOLVE46.asp,2026-09-23,ME,Maine Resolve Chapter 46,primary,undetermined
me-eo-2018,state,Maine,Maine executive order on highly automated vehicles,Created an advisory committee to recommend policy; the separate legislative resolve addresses a pilot framework.,Created an advisory committee to recommend policy; the separate legislative resolve addresses a pilot framework,executive_order,historical_status_unverified,2018-01-18,https://www.maine.gov/governor/lepage/official-documents/executive-orders.html,2026-09-23,ME,Maine executive order on highly automated vehicles,primary,
md-statute-baseline,state,Maryland,Enacted AV Statute · Current Framework,Maryland's AV-specific statute focuses on converted vehicles for commercial or industrial use. Broader 2025 operation and safety-operator bills did not pass.,Maryland's AV-specific statute focuses on converted vehicles for commercial or industrial use,legislation,in_effect,,https://www.mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gtr&enactments=false&section=15-901,2026-09-23,MD,Maryland Transportation Code § 15-901,primary,undetermined
ma-eo-2016,state,Massachusetts,Massachusetts Executive Order 572,Established a state-led approval framework for highly automated vehicle testing. Rescinded in 2022.,Established a state-led approval framework for highly automated vehicle testing,executive_order,rescinded,2016-10-20,https://www.mass.gov/executive-orders/no-572-to-promote-the-testing-and-deployment-of-highly-automated-driving-technologies,2026-09-23,MA,Massachusetts Executive Order 572,primary,
ma-eo-2022,state,Massachusetts,Massachusetts Executive Order 603,Rescinded Executive Order 572. The prior order must not be shown as current operating authority.,Rescinded Executive Order 572,executive_order,in_effect,2022-12-14,https://www.mass.gov/executive-orders/no-603-rescinding-certain-executive-orders,2026-09-23,MA,Massachusetts Executive Order 603,primary,
mi-statute-baseline,state,Michigan,Enacted AV Statute · Current Framework,"Michigan law covers research, testing and operation and permits driverless use under statutory conditions, including minimal-risk capability and insurance. SAVE projects have separate manufacturer limits.","Michigan law covers research, testing and operation and permits driverless use under statutory conditions, including minimal-risk capability and insurance",legislation,in_effect,2016,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-300-1949-VI-AUTOMATED-VEHICLES,2026-09-23,MI,Michigan automated vehicle statutes,primary,year
mn-eo-2018,state,Minnesota,Minnesota Executive Order 18-04,Established a connected and automated vehicles advisory council; rescinded by Executive Order 19-18.,Established a connected and automated vehicles advisory council; rescinded by Executive Order 19-18,executive_order,rescinded,2018,https://www.lrl.mn.gov/archive/execorders/18-04.pdf,2026-09-23,MN,Minnesota Executive Order 18-04,primary,
mn-eo-2019,state,Minnesota,Minnesota Executive Order 19-18,Replaced the 2018 advisory council order with a governor's council and interagency coordination.,Replaced the 2018 advisory council order with a governor's council and interagency coordination,executive_order,historical_status_unverified,2019-04-01,https://www.leg.mn.gov/archive/execorders/19-18.pdf,2026-09-23,MN,Minnesota Executive Order 19-18,primary,
ms-statute-baseline,state,Mississippi,Enacted AV Statute · Current Framework,Mississippi allows a person to operate an AV when statutory conditions are met. The permission is broader than a manufacturer-only test program.,Mississippi allows a person to operate an AV when statutory conditions are met,legislation,in_effect,,https://billstatus.ls.state.ms.us/documents/2023/pdf/HB/1000-1099/HB1003SG.pdf,2026-09-23,MS,Mississippi HB 1003 sent to governor (2023),primary,undetermined
mt-statute-baseline,state,Montana,Enacted AV Statute · Current Framework,Montana enacted measures addressing automated vehicles and platooning in 2025. The exact authority for a proposed passenger or freight service requires examination of the relevant provisions.,Montana enacted measures addressing automated vehicles and platooning in 2025,legislation,in_effect,,https://mca.legmt.gov/bills/mca/title_0610/chapter_0060/part_0040/section_0090/0610-0060-0040-0090.html,2026-09-23,MT,Montana Code § 61-6-409,primary,undetermined
ne-statute-baseline,state,Nebraska,Enacted AV Statute · Current Framework,Nebraska permits ADS-equipped vehicles with an onboard licensed driver and provides a conditional pathway for operation without one.,Nebraska permits ADS-equipped vehicles with an onboard licensed driver and provides a conditional pathway for operation without one,legislation,in_effect,,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3302,2026-09-23,NE,Nebraska Revised Statutes § 60-3302,primary,undetermined
nv-statute-baseline,state,Nevada,Enacted AV Statute · Current Framework,Nevada provides separate DMV applications for autonomous-vehicle testing and certification for operation. No complete public list of current holders was found in the sources reviewed.,Nevada provides separate DMV applications for autonomous-vehicle testing and certification for operation,legislation,in_effect,,https://dmv.nv.gov/autonomous.htm,2026-09-23,NV,Nevada DMV AV program,primary,undetermined
nh-statute-baseline,state,New Hampshire,Enacted AV Statute · Current Framework,New Hampshire provides a testing pilot and an AV advisory commission. Those provisions do not establish general commercial deployment statewide.,New Hampshire provides a testing pilot and an AV advisory commission,legislation,in_effect,,https://gc.nh.gov/rsa/html/XX/242/242-1.htm,2026-09-23,NH,New Hampshire RSA 242:1,primary,undetermined
nm-statute-baseline,state,New Mexico,Enacted AV Statute · Current Framework,New Mexico's AV framework addresses testing and requires advance notification. A testing notice is distinct from commercial deployment approval.,New Mexico's AV framework addresses testing and requires advance notification,legislation,in_effect,,https://www.dot.nm.gov/highway-operations-program/operations-support-division-director/intelligent-transportation-systems/,2026-09-23,NM,NMDOT autonomous vehicle testing notification,primary,undetermined
ny-statute-baseline,state,New York,Enacted AV Statute · Current Framework,Testing in New York City requires a New York State DMV demonstration or testing permit and a separate NYC DOT permit. A NYC testing permit does not authorize commercial passenger service.,Testing in New York City requires a New York State DMV demonstration or testing permit and a separate NYC DOT permit,legislation,in_effect,,https://dmv.ny.gov/business/autonomous-vehicle-technology-demonstration-testing-and-operation,2026-09-23,NY,New York State DMV AV demonstration,primary,undetermined
nc-statute-baseline,state,North Carolina,Enacted AV Statute · Current Framework,North Carolina has AV-specific operating provisions and a committee charged with recommendations for testing and deployment. A statewide law does not reveal a company's actual service area.,North Carolina has AV-specific operating provisions and a committee charged with recommendations for testing and deployment,legislation,in_effect,,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/ByArticle/Chapter_20/Article_18.html,2026-09-23,NC,North Carolina General Statutes Article 18,primary,undetermined
nd-statute-baseline,state,North Dakota,Enacted AV Statute · Current Framework,North Dakota permits autonomous operation subject to applicable state and federal law. A 2025 AV funding proposal failed.,North Dakota permits autonomous operation subject to applicable state and federal law,legislation,in_effect,,https://ndlegis.gov/cencode/t39c01.html,2026-09-23,ND,North Dakota Century Code Chapter 39-01,primary,undetermined
oh-eo-2019,state,Ohio,Ohio Executive Order 2019-26D,Reauthorized DriveOhio as the state smart mobility center; its testing registration is distinct from deployment approval.,Reauthorized DriveOhio as the state smart mobility center; its testing registration is distinct from deployment approval,executive_order,historical_status_unverified,2019-10-02,https://governor.ohio.gov/media/executive-orders/executive-order-2019-26d,2026-09-23,OH,Ohio Executive Order 2019-26D,primary,
ok-statute-baseline,state,Oklahoma,Enacted AV Statute · Current Framework,Oklahoma permits AV operation when statutory conditions and ordinary registration rules are satisfied; on-demand networks also remain subject to applicable service law.,Oklahoma permits AV operation when statutory conditions and ordinary registration rules are satisfied; on-demand networks also remain subject to applicable service law,legislation,in_effect,,https://www.oklegislature.gov/BillInfo.aspx?Bill=SB1541&Session=2200,2026-09-23,OK,Oklahoma SB 1541 (2022),primary,undetermined
pa-statute-baseline,state,Pennsylvania,Enacted AV Statute · Current Framework,Pennsylvania's AV pathway places oversight with PennDOT and requires self-certification. A separate 2025 certificate proposal was pending in the survey.,Pennsylvania's AV pathway places oversight with PennDOT and requires self-certification,legislation,in_effect,2022,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/75/75.HTM,2026-09-23,PA,Pennsylvania Vehicle Code Chapter 85,primary,year
sd-statute-baseline,state,South Dakota,Enacted AV Statute · Current Framework,South Dakota added an AV operating statute in 2024 alongside earlier platooning provisions. Commercial freight and passenger services should be assessed under their relevant requirements.,South Dakota added an AV operating statute in 2024 alongside earlier platooning provisions,legislation,in_effect,,https://mylrc.sdlegislature.gov/api/Documents/Bill/264493.pdf?Year=2024,2026-09-23,SD,South Dakota HB 1095 enrolled (2024),primary,undetermined
tn-statute-baseline,state,Tennessee,Enacted AV Statute · Current Framework,"Tennessee has a general AV operating framework. A 2026 amendment addresses traffic violations committed by AVs, adding a distinct accountability issue to the state's policy picture.",Tennessee has a general AV operating framework,legislation,in_effect,2017,https://wapp.capitol.tn.gov/apps/BillInfo/Default?BillNumber=HB0381&ga=110,2026-09-23,TN,"Tennessee Automated Vehicles Act, HB 381",primary,year
tx-statute-baseline,state,Texas,Enacted AV Statute · Current Framework,Texas authorized AV operation in 2017 and added a mandatory TxDMV authorization for commercial automated-vehicle operation in 2026. The state does not publish a complete public holder roster in the sources reviewed; documented service is distinct from authorization.,Texas authorized AV operation in 2017 and added a mandatory TxDMV authorization for commercial automated-vehicle operation in 2026,legislation,in_effect,2017,https://www.txdmv.gov/AVprogram,2026-09-23,TX,Texas DMV Commercial Vehicle Authorization,primary,year
tx-sb2807-2025,state,Texas,SB 2807 · Commercial Vehicle Authorization,"Added a TxDMV authorization program for commercial AV operation; the authorization requirement became enforceable May 28, 2026.","Added a TxDMV authorization program for commercial AV operation; the authorization requirement became enforceable May 28, 2026",legislation,in_effect,2025,https://www.txdmv.gov/AVprogram,2026-09-23,TX,TxDMV AV program,primary,year
ut-statute-baseline,state,Utah,Enacted AV Statute · Current Framework,Utah's AV law governs operation of ADS-equipped vehicles subject to state and federal requirements. A 2026 information-request bill failed.,Utah's AV law governs operation of ADS-equipped vehicles subject to state and federal requirements,legislation,in_effect,,https://le.utah.gov/xcode/Title41/Chapter26/41-26.html,2026-09-23,UT,Utah Code Chapter 41-26,primary,undetermined
vt-statute-baseline,state,Vermont,Enacted AV Statute · Current Framework,"Vermont's AV law addresses testing only, with public comment and an onboard human driver for each approved test. It is not a general driverless passenger-service pathway.","Vermont's AV law addresses testing only, with public comment and an onboard human driver for each approved test",legislation,in_effect,,https://legislature.vermont.gov/statutes/fullchapter/23/041,2026-09-23,VT,Vermont Automated Vehicle Testing Act,primary,undetermined
wa-statute-baseline,state,Washington,Enacted AV Statute · Current Framework,Washington distinguishes eligibility to test AVs on public roads from registration of the vehicle itself. Neither alone identifies an operating service area.,Washington distinguishes eligibility to test AVs on public roads from registration of the vehicle itself,legislation,in_effect,,https://dol.wa.gov/vehicles-and-boats/vehicles/vehicle-registration/register-other-vehicles-and-other-services/registering-autonomous-vehicles,2026-09-23,WA,Washington DOL AV guidance,primary,undetermined
wa-eo-2017,state,Washington,Washington Executive Order 17-02,Created a state testing coordination and self-certification framework.,Created a state testing coordination and self-certification framework,executive_order,historical_status_unverified,2017-06-07,https://governor.wa.gov/sites/default/files/exe_order/17-02AutonomouVehicles.pdf,2026-09-23,WA,Washington Executive Order 17-02,primary,
wv-statute-baseline,state,West Virginia,Enacted AV Statute · Current Framework,West Virginia's AV law accommodates several service types subject to conditions. Driverless operators must submit a law-enforcement interaction plan before operating.,West Virginia's AV law accommodates several service types subject to conditions,legislation,in_effect,,https://code.wvlegislature.gov/17H-1/,2026-09-23,WV,West Virginia Fully Autonomous Vehicle Act,primary,undetermined
wi-eo-2017,state,Wisconsin,Wisconsin Executive Order 245,Created a steering committee on AV testing and deployment; the order specified dissolution after a 2018 final report.,Created a steering committee on AV testing and deployment; the order specified dissolution after a 2018 final report,executive_order,completed,2017-05-18,https://wisconsindot.gov/Documents/about-wisdot/who-we-are/comm-couns/executive-order245.pdf,2026-09-23,WI,Wisconsin Executive Order 245,primary,
dc-statute-baseline,state,District of Columbia,Enacted AV Statute · Current Framework,District rules address AV testing with a human behind the wheel; a testing provision is not commercial deployment authorization.,District rules address AV testing with a human behind the wheel; a testing provision is not commercial deployment authorization,legislation,in_effect,,https://ddot.dc.gov/page/autonomous-vehicles,2026-09-23,DC,DDOT AV law and testing guidance,primary,undetermined
ca-sb1298-2012,state,California,SB 1298 · AV testing framework,Directed California DMV to establish testing regulations and created a statutory framework for autonomous vehicles; later statutes and regulations changed the program.,Directed California DMV to establish testing regulations and created a statutory framework for autonomous vehicles; later statutes and regulations changed the program,legislation,historical,2012,https://www.leginfo.ca.gov/pub/11-12/bill/sen/sb_1251-1300/sb_1298_bill_20120925_chaptered.html,2026-09-23,CA,Enacted bill / legislature,primary,year
ca-ab1592-2016,state,California,AB 1592 · limited pilot project,Authorized a limited autonomous vehicle pilot project without the ordinary driver-seat controls under specified conditions. This targeted exception did not replace the general DMV testing and deployment rules.,Authorized a limited autonomous vehicle pilot project without the ordinary driver-seat controls under specified conditions,legislation,historical,2016-09-29,https://leginfo.legislature.ca.gov/faces/billHistoryClient.xhtml?bill_id=201520160AB1592,2026-09-23,CA,Enacted bill / legislature,primary,day
nv-ab511-2011,state,Nevada,AB 511 · first AV framework,Required Nevada DMV regulations authorizing autonomous vehicle operation and established early testing and licensing provisions; later amendments expanded the framework.,Required Nevada DMV regulations authorizing autonomous vehicle operation and established early testing and licensing provisions; later amendments expanded the framework,legislation,historical,2011,https://www.leg.state.nv.us/Session/76th2011/Bills/AB/AB511_EN.pdf,2026-09-23,NV,Enacted bill / legislature,primary,year
nv-ab69-2017,state,Nevada,AB 69 · driverless transportation services,Revised testing and operation provisions and provided for fully autonomous transportation services and network companies under state oversight.,Revised testing and operation provisions and provided for fully autonomous transportation services and network companies under state oversight,legislation,historical,2017,https://www.leg.state.nv.us/Statutes/79th2017/Stats201724.html,2026-09-23,NV,Enacted bill / legislature,primary,year
fl-hb7027-2016,state,Florida,HB 7027 · AV operating changes,Revised Florida's autonomous vehicle operating and equipment rules; this preceded the broader 2019 driverless operation law.,Revised Florida's autonomous vehicle operating and equipment rules; this preceded the broader 2019 driverless operation law,legislation,historical,2016,https://www.flsenate.gov/Session/Bill/2016/7027,2026-09-23,FL,Enacted bill / legislature,primary,year
fl-hb311-2019,state,Florida,HB 311 · driverless operation,Authorized a fully autonomous vehicle to operate without a human operator and addressed on-demand AV networks and insurance.,Authorized a fully autonomous vehicle to operate without a human operator and addressed on-demand AV networks and insurance,legislation,historical,2019,https://www.flsenate.gov/Session/Bill/2019/311,2026-09-23,FL,Enacted bill / legislature,primary,year
ca-dmv-2017-proposal,state,California,DMV · driverless testing and deployment proposal,"DMV proposed a regulatory framework for driverless testing and deployment, followed by modified texts in October and November 2017.","DMV proposed a regulatory framework for driverless testing and deployment, followed by modified texts in October and November 2017",regulatory proposal,historical,2017-03-10,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/california-autonomous-vehicle-regulations/,2026-09-23,CA,California DMV,primary,
ca-dmv-2020-delivery,state,California,DMV · light-duty delivery vehicle rules,"DMV began accepting applications under approved rules for autonomous delivery trucks below 10,001 pounds. Operation still required a DMV permit.","DMV began accepting applications under approved rules for autonomous delivery trucks below 10,001 pounds",regulation,in_effect,2020-01-16,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/california-autonomous-vehicle-regulations/,2026-09-23,CA,California DMV,primary,
ca-dmv-2024-draft,state,California,DMV · draft testing and deployment update,"DMV requested public comments on draft changes to Articles 3.7 (testing) and 3.8 (deployment). This was an early draft, not adopted text.",DMV requested public comments on draft changes to Articles 3.7 (testing) and 3.8 (deployment),draft regulation,superseded,2024-08-30,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/california-autonomous-vehicle-regulations/,2026-09-23,CA,California DMV,primary,
ca-dmv-2025-proposal,state,California,DMV · formal regulatory proposal,"DMV published proposed changes to Articles 3.7 and 3.8 and its initial statement of reasons; the initial comment period ended June 9, 2025.","DMV published proposed changes to Articles 3.7 and 3.8 and its initial statement of reasons; the initial comment period ended June 9, 2025",regulatory proposal,superseded,2025-04-25,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/california-autonomous-vehicle-regulations/,2026-09-23,CA,California DMV,primary,
ca-dmv-2025-modified,state,California,DMV · first modified proposal,"DMV released revised regulatory text for another comment round, which closed December 18, 2025.","DMV released revised regulatory text for another comment round, which closed December 18, 2025",modified proposal,superseded,2025-12-03,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/california-autonomous-vehicle-regulations/,2026-09-23,CA,California DMV,primary,
ca-dmv-2026-modified,state,California,DMV · second modified proposal,"DMV released a second revision of Articles 3.7 and 3.8; comments closed February 5, 2026.","DMV released a second revision of Articles 3.7 and 3.8; comments closed February 5, 2026",modified proposal,superseded,2026-01-21,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/california-autonomous-vehicle-regulations/,2026-09-23,CA,California DMV,primary,
ca-dmv-2026-effective,state,California,DMV · updated testing and deployment rules effective,The adopted Article 3.7 testing and Article 3.8 deployment updates took effect. Testing data reporting has a 120-day implementation period; deployment reports begin after the first full calendar quarter following the effective date.,The adopted Article 3.7 testing and Article 3.8 deployment updates took effect,regulation,in_effect,2026-04-28,https://www.dmv.ca.gov/portal/about-the-california-department-of-motor-vehicles/california-dmv-rulemaking-actions/,2026-09-23,CA,California DMV,primary,
ca-cpuc-2018-pilots,state,California,CPUC · passenger service pilots,Decision 18-05-043 authorized drivered and driverless test AV passenger service. These pilots require a corresponding DMV testing permit and cannot charge fares.,Decision 18-05-043 authorized drivered and driverless test AV passenger service,commission decision,in_effect,2018-05-31,https://www.cpuc.ca.gov/regulatory-services/licensing/transportation-licensing-and-analysis-branch/autonomous-vehicle-programs,2026-09-23,CA,CPUC AV passenger service programs,primary,
ca-cpuc-2020-deployment,state,California,CPUC · paid passenger deployment framework,"Decision 20-11-046, as modified by 21-05-017, authorized drivered and driverless paid passenger service programs. Deployment applicants also need a DMV deployment permit; driverless applicants submit a Passenger Safety Plan.","Decision 20-11-046, as modified by 21-05-017, authorized drivered and driverless paid passenger service programs",commission decision,in_effect,2020-11-20,https://www.cpuc.ca.gov/regulatory-services/licensing/transportation-licensing-and-analysis-branch/autonomous-vehicle-programs,2026-09-23,CA,CPUC AV passenger service programs,primary,
ca-cpuc-2024-reporting,state,California,CPUC · enhanced passenger service reporting,"CPUC adopted enhanced AV reporting after a 2023 workshop and public comments, extending oversight of passenger safety and service activity.","CPUC adopted enhanced AV reporting after a 2023 workshop and public comments, extending oversight of passenger safety and service activity",commission decision,in_effect,2024-11-07,https://www.cpuc.ca.gov/regulatory-services/licensing/transportation-licensing-and-analysis-branch/autonomous-vehicle-programs,2026-09-23,CA,CPUC AV passenger service programs,primary,
