date,event_type,phase,company,market,state,geometry_ref,geometry_basis,vehicles,platform,fares,service_model,supervision,access,fleet_partner,source_url,notes,source_dataset,source_dataset_url,source_license
2020-10-08,vehicle_types_updated,deployment,Waymo,Phoenix,AZ,,none,Jaguar I-Pace;Chrysler Pacifica Hybrid,,,,,,,https://techcrunch.com/2019/06/17/waymos-self-driving-jaguar-i-pace-vehicles-are-now-testing-on-public-roads/,Vehicle fleet expansion - adding Jaguar I-Pace,AV Map,https://github.com/path-avmap/av-map-data,MIT
2021-03-23,service_created,deployment,May Mobility,"Arlington, TX",TX,may-mobility-arlington-tx-march-23-2021-boundary.geojson,avmap_geojson,Toyota Sienna,Via,Yes,Flexible,Safety Driver,Public,,https://maymobility.com/locations/arlington-tx/,Arlington RAPID service over 1 square mile area around UTA campus and downtown Arlington,AV Map,https://github.com/path-avmap/av-map-data,MIT
2021-07-26,geometry_updated,deployment,May Mobility,"Grand Rapids, MI",MI,may-mobility-grand-rapids-mi-july-26-2021-boundary.geojson,avmap_geojson,,,,,,,,https://www.prnewswire.com/news-releases/may-mobility-announces-on-demand-autonomous-service-in-grand-rapids-michigan-301351595.html,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2021-07-26,platform_updated,deployment,May Mobility,"Grand Rapids, MI",MI,,none,,May Mobility,,,,,,https://www.prnewswire.com/news-releases/may-mobility-announces-on-demand-autonomous-service-in-grand-rapids-michigan-301351595.html,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2021-07-26,vehicle_types_updated,deployment,May Mobility,"Grand Rapids, MI",MI,,none,Polaris GEM;Lexus RX 450h,,,,,,,https://www.prnewswire.com/news-releases/may-mobility-announces-on-demand-autonomous-service-in-grand-rapids-michigan-301351595.html,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2021-10-11,service_created,deployment,May Mobility,"Ann Arbor, MI",MI,may-mobility-ann-arbor-mi-october-11-2021-boundary.geojson,avmap_geojson,Toyota Sienna,May Mobility,No,Hub-to-Hub,Safety Driver,Public,,https://maymobility.com/posts/a2go-autonomous-shuttle-service-launches-in-ann-arbor-on-october-11/,A2Go autonomous shuttle service in 2.64 square-mile area connecting Kerrytown with Downtown and University of Michigan campuses,AV Map,https://github.com/path-avmap/av-map-data,MIT
2021-10-19,service_testing,testing,Zoox,Seattle,WA,"-122.3321,47.6062",point,,,,,Safety Driver,Testing,,https://www.engadget.com/amazon-zoox-autonomous-vehicle-test-seattle-103516733.html,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2022-02-02,service_created,deployment,Cruise,San Francisco,CA,cruise-san-francisco-february-1-2022-boundary.geojson,avmap_geojson,Chevrolet Bolt EV,Cruise,Yes,Flexible,Autonomous,Waitlist,,https://fortune.com/2022/02/01/cruise-robotaxi-self-driving-car-san-francisco/,Cruise San Francisco commercial service launch,AV Map,https://github.com/path-avmap/av-map-data,MIT
2022-04-29,service_ended,deployment,May Mobility,"Grand Rapids, MI",MI,,none,,,,,,,,https://www.grandrapidsmi.gov/Government/Departments/Mobile-GR/Grand-Rapids-Autonomous-Vehicle-Initiative,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2022-09-28,service_created,deployment,May Mobility,"Grand Rapids, MN",MN,may-mobility-grand-rapids-mn-september-28-2022-boundary.geojson,avmap_geojson,Toyota Sienna,May Mobility,No,Hub-to-Hub,Safety Driver,Public,,https://maymobility.com/posts/may-mobility-and-via-launch-first-rural-transit-program-to-use-wheelchair-accessible-ada-compliant-autonomous-vehicless/,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2022-11-01,geometry_updated,deployment,Cruise,San Francisco,CA,cruise-san-francisco-november-1-2022-boundary.geojson,avmap_geojson,,,,,,,,https://sfstandard.com/2022/11/01/self-driving-cruise-cars-are-expanding-to-most-of-sf-says-ceo/,CPUC approved public expansion and 24/7 operations,AV Map,https://github.com/path-avmap/av-map-data,MIT
2022-11-01,geometry_updated,deployment,Waymo,Phoenix,AZ,waymo-phoenix-november-1-2022-boundary.geojson,avmap_geojson,,,,,,,,https://techcrunch.com/2022/11/01/waymo-launches-autonomous-rides-to-phoenix-airport/,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2022-12-16,service_created,deployment,Waymo,San Francisco,CA,waymo-san-francisco-december-16-2022-boundary.geojson,avmap_geojson,Jaguar I-Pace,Waymo,No,Flexible,Autonomous,Waitlist,,https://waymo.com/blog/2022/12/wheels-up-for-waymo-as-we-expand,Waymo San Francisco service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-03-30,vehicle_types_updated,deployment,Waymo,Phoenix,AZ,,none,Jaguar I-Pace,,,,,,,https://techcrunch.com/2023/03/30/waymo-retires-its-self-driving-chrysler-pacifica-minivan/,Vehicle fleet change: retiring Chrysler Pacifica Hybrid,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-04-01,service_created,deployment,Oxa,"San Ramon, CA",CA,"-121.9780,37.7799",point,Navya ARMA,,No,Fixed Route,Safety Attendant,Public,Beep,https://ridebeep.com/locations/san-ramon-ca,Four-stop route at Bishop Ranch connecting San Ramon Transit Center and City Center,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-04-25,service_created,deployment,May Mobility,"Sun City, AZ",AZ,"-112.2711,33.6139",point,Toyota Sienna,May Mobility,No,Hub-to-Hub,Autonomous,Public,,https://www.azcentral.com/story/news/local/surprise/2023/05/07/sun-city-self-driving-taxi-service-may-mobility-launches/70171913007/,11 stops including recreation centers and medical facilities,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-05-04,geometry_updated,deployment,Waymo,Phoenix,AZ,waymo-phoenix-may-4-2023-boundary.geojson,avmap_geojson,,,,,,,,https://waymo.com/blog/2023/05/waymo-one-doubles-service-area-in,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-06-16,vehicle_types_updated,deployment,Zoox,Las Vegas,NV,,none,Zoox Robotaxi,,,,,,,"https://techcrunch.com/2023/06/27/zoox-begins-testing-robotaxis-on-public-roads-in-las-vegas/#:~:text=The%20company%20said%20it%20has,is%20also%20transporting%20employees%20there.",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-06-16,supervision_updated,deployment,Zoox,Las Vegas,NV,,none,,,,,Autonomous,,,"https://techcrunch.com/2023/06/27/zoox-begins-testing-robotaxis-on-public-roads-in-las-vegas/#:~:text=The%20company%20said%20it%20has,is%20also%20transporting%20employees%20there.",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-07-11,service_testing,testing,VW ADMT,Austin,TX,"-97.7431,30.2672",point,VW ID. Buzz AD,,,,Safety Driver,Testing,,https://techcrunch.com/2023/07/06/volkswagen-to-start-testing-self-driving-id-buzz-vans-in-austin/;https://www.mysanantonio.com/news/article/vw-launches-autonomous-id-buzz-test-fleet-in-18195804.php,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-08-21,fares_policy_changed,deployment,Waymo,San Francisco,CA,,none,,,Yes,,,,,https://waymo.com/blog/2023/08/waymos-next-chapter-in-san-francisco,Fares policy update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-08-21,geometry_updated,deployment,Waymo,San Francisco,CA,waymo-san-francisco-august-21-2023-boundary.geojson,avmap_geojson,,,,,,,,https://waymo.com/blog/2023/08/waymos-next-chapter-in-san-francisco,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-09-29,service_testing,testing,Waymo,Miami,FL,"-80.1918,25.7617",point,,,,,Safety Driver,Testing,,https://www.cbsnews.com/miami/news/waymos-self-driving-cars-on-miami-streets-as-company-tests-its-technology/,Adding Miami testing before the announcement,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-10-24,service_ended,deployment,Cruise,San Francisco,CA,,none,,,,,,,,https://www.wired.com/story/cruise-robotaxi-self-driving-permit-revoked-california/,California DMV suspended operations due to pedestrian dragging incident,AV Map,https://github.com/path-avmap/av-map-data,MIT
2023-10-26,platform_updated,deployment,Waymo,Phoenix,AZ,,none,,Waymo;Uber,,,,,,https://waymo.com/blog/2023/10/the-waymo-driver-now-available-on-uber-in-phoenix,Booking platform update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-02-01,service_created,deployment,Oxa,"Jacksonville, FL",FL,"-81.6540,30.3273",point,Ford e-Transit,,No,Fixed Route,Safety Driver,Public,Beep,https://oxa.tech/news-and-insights/oxa-deploys-its-commercial-self-driving-software-for-the-first-time-as-av-shuttles-launch-for-passengers-in-florida-us/,FSCJ Downtown campus 1-mile route,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-03-13,service_created,deployment,Waymo,Los Angeles,CA,waymo-los-angeles-march-13-2024-boundary.geojson,avmap_geojson,Jaguar I-Pace,Waymo,No,Flexible,Autonomous,Waitlist,,https://waymo.com/blog/2024/03/scaling-waymo-one-safely-across-four-cities-this-year,Waymo Los Angeles service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-04-10,fares_policy_changed,deployment,Waymo,Los Angeles,CA,,none,,,Yes,,,,,https://www.nbcnews.com/tech/innovation/waymo-will-launch-paid-robotaxi-service-los-angeles-wednesday-rcna147101,Fares policy update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-06-04,service_testing,testing,Zoox,Austin,TX,"-97.7431,30.2672",point,,,,,Safety Driver,Testing,,https://techcrunch.com/2024/06/05/zoox-to-test-self-driving-cars-in-austin-and-miami/,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-06-04,service_testing,testing,Zoox,Miami,FL,"-80.1918,25.7617",point,,,,,Safety Driver,Testing,,https://techcrunch.com/2024/06/05/zoox-to-test-self-driving-cars-in-austin-and-miami/,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-06-05,geometry_updated,deployment,Waymo,Phoenix,AZ,waymo-phoenix-june-5-2024-boundary.geojson,avmap_geojson,,,,,,,,https://waymo.com/blog/2024/06/largest-autonomous-ride-hail-territory-in-us-now-even-larger,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-06-25,access_policy_changed,deployment,Waymo,San Francisco,CA,,none,,,,,,Public,,https://waymo.com/blog/2024/06/waymo-one-is-now-open-to-everyone-in-san-francisco,Access policy update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-08-01,service_created,deployment,Oxa,"Walnut Creek, CA",CA,"-122.0652,37.9101",point,Olli 2.0,,No,Fixed Route,Safety Attendant,Public,Beep,https://ridebeep.com/locations/walnut-creek-ca,Two-stop route in Rossmoor gated community connecting Gateway Club House and Tice Creek Fitness Club,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-08-06,geometry_updated,deployment,Waymo,Los Angeles,CA,waymo-los-angeles-august-6-2024-boundary.geojson,avmap_geojson,,,,,,,,https://waymo.com/blog/2024/08/expanding-destinations-for-san-francisco-and-los-angeles-riders,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-08-06,geometry_updated,deployment,Waymo,San Francisco,CA,waymo-san-francisco-august-6-2024-boundary.geojson,avmap_geojson,,,,,,,,https://waymo.com/blog/2024/08/expanding-destinations-for-san-francisco-and-los-angeles-riders,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-09-12,service_created,deployment,May Mobility,"Martinez, CA",CA,may-mobility-martinez-ca-september-12-2024-boundary.geojson,avmap_geojson,Toyota Sienna,May Mobility,No,Hub-to-Hub,Safety Driver,Public,,https://ccta.net/news/contra-costa-transportation-authority-and-may-mobility-launch-autonomous-vehicle-service-in-martinez-california/,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-10-07,service_created,deployment,May Mobility,"Peachtree Corners, GA",GA,may-mobility-peachtree-corners-ga-october-7-2024-boundary.geojson,avmap_geojson,Toyota Sienna,May Mobility,No,Hub-to-Hub,Safety Driver,Public,,https://maymobility.com/posts/peachtree-corners-launch-autonomous-vehicle-may-mobility-t-mobile/,Peachtree Corners autonomous shuttle service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-11-11,vehicle_types_updated,deployment,Zoox,San Francisco,CA,,none,Zoox Robotaxi,,,,,,,"https://www.kron4.com/news/bay-area/zoox-robotaxis-to-begin-testing-on-streets-of-san-francisco/#:~:text=Zoox%20driverless%20robotaxis%20begin%20testing,experience%2C%E2%80%9D%20the%20company%20said.",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-11-11,supervision_updated,deployment,Zoox,San Francisco,CA,,none,,,,,Autonomous,,,"https://www.kron4.com/news/bay-area/zoox-robotaxis-to-begin-testing-on-streets-of-san-francisco/#:~:text=Zoox%20driverless%20robotaxis%20begin%20testing,experience%2C%E2%80%9D%20the%20company%20said.",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-11-12,access_policy_changed,deployment,Waymo,Los Angeles,CA,,none,,,,,,Public,,https://waymo.com/blog/2024/11/waymo-one-open-to-all-in-los-angeles,Access policy update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-12-05,fleet_partner_changed,deployment,Waymo,Phoenix,AZ,,none,,,,,,,Moove,https://www.prnewswire.com/news-releases/moove-partners-with-waymo-to-redefine-the-future-of-urban-mobility-302324144.html,Fleet partnership with Moove established,AV Map,https://github.com/path-avmap/av-map-data,MIT
2024-12-05,service_announced,testing,Waymo,Miami,FL,"-80.1918,25.7617",point,Jaguar I-Pace,Waymo,,,Safety Driver,Announced,,https://www.miamiherald.com/news/local/community/miami-dade/article297065439.html,Early 2025 testing with safety drivers; 2026 public launch; Moove fleet partnership,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-01-29,service_testing,testing,Waymo,Las Vegas,NV,"-115.1884,36.1011",point,,,,,Safety Driver,Testing,,"https://news3lv.com/news/local/waymo-to-begin-testing-self-driving-vehicles-in-las-vegas#:~:text=LAS%20VEGAS%20(KSNV)%20%E2%80%94%20Waymo,%2C%20Phoenix%20and%20Austin%2C%20Texas.",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-01-29,service_testing,testing,Waymo,San Diego,CA,"-117.1611,32.7157",point,,,,,Safety Driver,Testing,,"https://www.cbs8.com/article/news/local/waymo-comes-to-san-diego/509-c9ba8f17-bada-457a-add3-d671e09b23c4#:~:text=Waymo%20didn't%20reveal%20an,might%20begin%20in%20San%20Diego.",,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-02-01,service_ended,deployment,May Mobility,"Sun City, AZ",AZ,,none,,,,,,,,https://techcrunch.com/2025/02/12/may-mobility-launches-its-first-driverless-commercial-ride-hail-service/,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-02-16,supervision_updated,deployment,May Mobility,"Peachtree Corners, GA",GA,,none,,,,,Autonomous,,,https://www.iotworldtoday.com/transportation-logistics/may-mobility-launches-first-commercial-driverless-car-service,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-03-04,service_created,deployment,Waymo,Austin,TX,waymo-austin-march-4-2025-boundary.geojson,avmap_geojson,Jaguar I-Pace,Uber,Yes,Flexible,Autonomous,Public,,https://www.cnbc.com/2025/03/04/waymo-uber-begin-offering-robotaxi-rides-in-austin-ahead-of-sxsw.html,Waymo Austin service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-03-24,service_testing,testing,Waymo,Nashville,TN,"-86.7816,36.1627",point,,,,,Safety Driver,Testing,,https://www.wkrn.com/news/local-news/nashville/waymo-to-begin-testing-autonomous-vehicles-in-nashville/,Adding Nashville testing before the announcement,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-03-25,service_announced,unknown,Waymo,"Washington, DC",DC,"-77.0369,38.9072",point,,Waymo,,,Safety Driver,Announced,,https://www.reuters.com/technology/alphabets-waymo-aims-2026-self-driving-ride-hailing-launch-washington-dc-2025-03-25/,Vehicles moved to DC in January 2025; DC does not currently allow fully autonomous operations; working with policymakers on legal framework,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-04-08,service_testing,testing,Zoox,Los Angeles,CA,"-118.2437,34.0522",point,Toyota Highlander,,,,Safety Driver,Testing,,https://zoox.com/journal/atlanta-expansion-2025/,Retrofitted test fleet; small deployment in Hollywood area; manual mapping then autonomous driving summer 2025,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-04-24,service_announced,unknown,VW ADMT,Los Angeles,CA,"-118.2437,34.0522",point,VW ID. Buzz AD,Uber,Yes,Flexible,Safety Driver,Announced,,https://investor.uber.com/news-events/news/press-release-details/2025/Volkswagen-and-Uber-Launch-Long-Term-Strategic-Partnership-to-Deploy-Autonomous-ID--Buzz-Vehicles-on-the-Uber-Platform/default.aspx,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-05-20,service_testing,testing,Zoox,Atlanta,GA,"-84.3885,33.7501",point,Toyota Highlander,,,,Safety Driver,Testing,,https://zoox.com/journal/atlanta-expansion-2025/,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-05-27,service_testing,testing,Waymo,Orlando,FL,"-81.379039,28.54211",point,Jaguar I-Pace,,,,Safety Driver,Testing,,https://x.com/Waymo/status/1927396004606701883?s=20,Waymo announces testing road trip in Orlando,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-05-28,service_testing,testing,Waymo,Houston,TX,"-95.3701,29.7601",point,,,,,Safety Driver,Testing,,https://www.axios.com/local/houston/2025/05/28/waymo-houston-cars-test-driverless,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-06-17,geometry_updated,deployment,Waymo,San Francisco,CA,waymo-san-francisco-june-17-2025-boundary.geojson,avmap_geojson,,,,,,,,https://www.theverge.com/news/688202/waymo-sf-la-service-area-expand-robotaxi,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-06-18,geometry_updated,deployment,Waymo,Los Angeles,CA,waymo-los-angeles-june-18-2025-boundary.geojson,avmap_geojson,,,,,,,,https://techcrunch.com/2025/06/17/waymo-robotaxis-are-pushing-into-even-more-california-cities/,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-06-22,service_created,deployment,Tesla,Austin,TX,tesla-austin-june-22-2025-boundary.geojson,avmap_geojson,Tesla Model Y,Robotaxi,Yes,Flexible,Safety Attendant,Waitlist,,https://www.cnbc.com/2025/06/20/tesla-robotaxi-launch-austin.html,Tesla Austin service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-06-24,service_created,deployment,Waymo,Atlanta,GA,waymo-atlanta-june-24-2025-boundary.geojson,avmap_geojson,Jaguar I-Pace,Uber,Yes,Flexible,Autonomous,Public,,https://www.uber.com/newsroom/waymo-on-uber-atl/,Waymo Atlanta service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-07-14,geometry_updated,deployment,Tesla,Austin,TX,tesla-austin-july-14-2025-boundary.geojson,avmap_geojson,,,,,,,,https://www.businessinsider.com/tesla-new-robotaxi-geofence-austin-shape-elon-musk-bigger-waymo-2025-7,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-07-17,geometry_updated,deployment,Waymo,Austin,TX,waymo-austin-july-17-2025-boundary.geojson,avmap_geojson,,,,,,,,https://www.axios.com/local/austin/2025/07/17/waymo-expands-austin-service-area,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-07-17,service_testing,testing,Avride,Austin,TX,"-97.7431,30.2672",point,Hyundai IONIQ 5,,,,Safety Driver,Testing,,https://www.kvue.com/article/news/local/avride-self-driving-vehicles-austin-testing-driverless-cars-autonomous-currently/269-bc74bd81-9cdb-4264-b446-d8a8d20d77b1,Avride testing in Austin,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-07-28,service_announced,unknown,Waymo,Dallas,TX,"-96.7970,32.7767",point,,Waymo,,,Safety Driver,Announced,Avis Budget Group,https://waymo.com/blog/2025/07/our-next-city-dallas,Avis Budget Group multi-year fleet management partnership; testing underway as of June 2025,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-08-03,geometry_updated,deployment,Tesla,Austin,TX,tesla-austin-august-3-2025-boundary.geojson,avmap_geojson,,,,,,,,https://www.pcmag.com/news/teslas-robotaxi-coverage-expands-four-times-the-size-of-initial-austin,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-08-26,geometry_updated,deployment,Tesla,Austin,TX,tesla-austin-august-26-2025-boundary.geojson,avmap_geojson,,,,,,,,https://electrek.co/2025/08/27/tesla-announces-50-increase-in-austin-robotaxi-but-50-from-what/,Service area boundary update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-01,supervision_updated,deployment,Tesla,Austin,TX,,none,,,,,Safety Driver,,,https://mashable.com/article/tesla-robotaxi-human-safety-monitor-drivers-seat#:~:text=Tesla%20now%20puts%20their%20robotaxi%20safety%20monitors%20in%20the%20driver%27s&text=Texas%20SB%202807%2C%20which%20went%20into%20effect%20on%20Sept.,Supervision level update,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-02,geometry_updated,deployment,May Mobility,"Grand Rapids, MN",MN,may-mobility-grand-rapids-mn-september-2-2025-boundary.geojson,avmap_geojson,,,,,,,,https://www.kaxe.org/local-news/2025-08-11/grand-rapids-autonomous-transit-expanding-to-nearby-cities-tribal-stops,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-02,service_testing,testing,Waymo,Seattle,WA,"-122.3321,47.6062",point,Jaguar I-Pace;Zeekr RT,Waymo,,,Safety Driver,Testing,,https://www.geekwire.com/2025/waymo-to-start-testing-and-laying-groundwork-for-driverless-taxi-service-in-seattle-area/,Dozen vehicles with 6th gen tech; no timeline for public service; Washington state lacks regulations for autonomous operations,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-03,service_announced,unknown,Waymo,Denver,CO,"-104.9903,39.7392",point,Jaguar I-Pace;Zeekr RT,Waymo,,,Safety Driver,Testing,,https://www.cbsnews.com/colorado/news/waymo-self-driving-cars-denver-colorado-governors-safer-roads/,About a dozen vehicles; all-electric; collecting data; goal to serve public early 2026; first city with winter conditions; plans to expand to metro area and DIA,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-04,service_announced,unknown,Avride,Dallas,TX,"-96.7970,32.7767",point,Hyundai IONIQ 5,Uber,Yes,,Safety Driver,Announced,,"https://www.reuters.com/business/autos-transportation/autonomous-technology-startup-avride-ramp-up-testing-part-uber-robotaxi-rollout-2025-09-04/#:~:text=Reuters%20Plus-,Autonomous%20technology%20startup%20Avride%20to%20ramp%20up%20testing%20as%20part,products%20to%20the%20same%20platform.",Uber + Avride announced robotaxi partnership,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-10,service_created,deployment,May Mobility,Atlanta,GA,may-mobility-atlanta-september-10-2025-boundary.geojson,avmap_geojson,Toyota Sienna,Lyft,Yes,Flexible,Safety Driver,Public,,https://maymobility.com/posts/lyft-and-may-mobility-deploy-their-first-autonomous-vehicle-fleet-in-atlanta/,May Mobility Atlanta service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-10,service_created,deployment,Zoox,Las Vegas,NV,zoox-las-vegas-september-10-2025-boundary.geojson,avmap_geojson,Zoox Robotaxi,Zoox,No,Hub-to-Hub,Autonomous,Public,,https://techcrunch.com/2025/09/10/zoox-opens-its-las-vegas-robotaxi-service-to-the-public/,Zoox Las Vegas service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-16,service_created,deployment,Zoox,San Francisco,CA,zoox-san-francisco-september-16-2025-boundary.geojson,avmap_geojson,Zoox Robotaxi,Zoox,No,Flexible,Autonomous,Waitlist,,https://x.com/nearcyan/status/1968122084674113773,Zoox San Francisco service,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-09-17,service_announced,testing,Waymo,Nashville,TN,"-86.7816,36.1627",point,,Waymo;Lyft,,,Safety Driver,Announced,Flexdrive,https://waymo.com/blog/2025/09/waymo-is-coming-to-nashville-in-partnership-with-lyft,Lyft partnership; Waymo app first then Lyft integration; Flexdrive fleet management; autonomous ops in coming months then public riders next year,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-10-01,service_testing,testing,Zoox,"Washington, DC",DC,"-77.0369,38.9072",point,Toyota Highlander,,,,Safety Driver,Testing,,https://www.therobotreport.com/zoox-tests-self-driving-service-in-washington-d-c/,,AV Map,https://github.com/path-avmap/av-map-data,MIT
2025-10-28,geometry_updated,deployment,Tesla,Austin,TX,tesla-austin-october-28-2025-boundary.geojson,avmap_geojson,,,,,,,,https://x.com/SawyerMerritt/status/1983287391315214570/photo/1,,AV Map,https://github.com/path-avmap/av-map-data,MIT
