code,name,framework,analysis,oversight,enacted_legislation,executive_order_history,source_url,source_label,source_tier,verified_at
MD,Maryland,Narrow converted-vehicle provisions,Maryland's AV-specific statute focuses on converted vehicles for commercial or industrial use. Broader 2025 operation and safety-operator bills did not pass.,Motor Vehicle Administration and applicable vehicle law.,True,False,https://www.mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gtr&enactments=false&section=15-901,Maryland Transportation Code § 15-901,primary,2026-09-23
MA,Massachusetts,Historical testing order rescinded,Executive Order 572 established a testing framework in 2016 and was rescinded by Executive Order 603 in 2022. Current testing authority needs separate verification.,Do not rely on the rescinded order for current testing.,False,True,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
MI,Michigan,Testing and conditional operation,"Michigan law covers research, testing and operation and permits driverless use under statutory conditions, including minimal-risk capability and insurance. SAVE projects have separate manufacturer limits.",State AV statutes and vehicle rules.,True,False,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-300-1949-VI-AUTOMATED-VEHICLES,Michigan automated vehicle statutes,primary,2026-09-23
MN,Minnesota,No comprehensive AV operation law enacted,"Minnesota proposed an AV and on-demand network framework in 2026, but it failed. The proposal should not be represented as an active permit system.",General vehicle rules and any relevant agency guidance.,False,True,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
MS,Mississippi,General driverless operating pathway,Mississippi allows a person to operate an AV when statutory conditions are met. The permission is broader than a manufacturer-only test program.,"State traffic, registration, and safety requirements.",True,False,https://billstatus.ls.state.ms.us/documents/2023/pdf/HB/1000-1099/HB1003SG.pdf,Mississippi HB 1003 sent to governor (2023),primary,2026-09-23
MO,Missouri,No dedicated operating framework enacted,A Missouri proposal requiring an active human driver was still pending in the survey. Its introduction alone does not change current AV operating law.,General state motor vehicle and carrier rules.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
MT,Montana,Automated-vehicle and platooning provisions,Montana enacted measures addressing automated vehicles and platooning in 2025. The exact authority for a proposed passenger or freight service requires examination of the relevant provisions.,State vehicle and commercial-carrier requirements.,True,False,https://mca.legmt.gov/bills/mca/title_0610/chapter_0060/part_0040/section_0090/0610-0060-0040-0090.html,Montana Code § 61-6-409,primary,2026-09-23
NE,Nebraska,Conditional driverless operation,Nebraska permits ADS-equipped vehicles with an onboard licensed driver and provides a conditional pathway for operation without one.,State statutory requirements for driverless operation and ordinary vehicle law.,True,False,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3302,Nebraska Revised Statutes § 60-3302,primary,2026-09-23
NV,Nevada,Testing and operation registries,Nevada provides separate DMV applications for autonomous-vehicle testing and certification for operation. No complete public list of current holders was found in the sources reviewed.,Nevada DMV testing and operation certification.,True,False,https://dmv.nv.gov/autonomous.htm,Nevada DMV AV program,primary,2026-09-23
NH,New Hampshire,Advisory commission and testing pilot,New Hampshire provides a testing pilot and an AV advisory commission. Those provisions do not establish general commercial deployment statewide.,Pilot approval and commission reporting.,True,False,https://gc.nh.gov/rsa/html/XX/242/242-1.htm,New Hampshire RSA 242:1,primary,2026-09-23
NJ,New Jersey,"Proposed pilot, not enacted","A 2026 bill proposed a fully autonomous vehicle pilot. The guide identifies it as pending, so a proposed pilot cannot be shown as active authorization.",General motor vehicle rules pending enacted AV legislation.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
NM,New Mexico,Notified testing pathway,New Mexico's AV framework addresses testing and requires advance notification. A testing notice is distinct from commercial deployment approval.,State transportation and testing-notification requirements.,True,False,https://www.dot.nm.gov/highway-operations-program/operations-support-division-director/intelligent-transportation-systems/,NMDOT autonomous vehicle testing notification,primary,2026-09-23
NY,New York,State demonstration permit; additional NYC test permit,Testing in New York City requires a New York State DMV demonstration or testing permit and a separate NYC DOT permit. A NYC testing permit does not authorize commercial passenger service.,NYS DMV demonstration program; NYC DOT testing permit within the city.,True,False,https://dmv.ny.gov/business/autonomous-vehicle-technology-demonstration-testing-and-operation,New York State DMV AV demonstration,primary,2026-09-23
NC,North Carolina,Operation statute and policy committee,North Carolina has AV-specific operating provisions and a committee charged with recommendations for testing and deployment. A statewide law does not reveal a company's actual service area.,State traffic law and committee-led policy review.,True,False,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/ByArticle/Chapter_20/Article_18.html,North Carolina General Statutes Article 18,primary,2026-09-23
ND,North Dakota,Conditional AV operation,North Dakota permits autonomous operation subject to applicable state and federal law. A 2025 AV funding proposal failed.,Ordinary vehicle law plus the state's AV operating provision.,True,False,https://ndlegis.gov/cencode/t39c01.html,North Dakota Century Code Chapter 39-01,primary,2026-09-23
OH,Ohio,Executive-order testing registration,Ohio's DriveOhio program requires companies to register before AV testing. The guide identifies no general AV operation statute; registration should not be read as commercial deployment approval.,DriveOhio testing registration and state vehicle rules.,False,True,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
OK,Oklahoma,Conditional operating pathway,Oklahoma permits AV operation when statutory conditions and ordinary registration rules are satisfied; on-demand networks also remain subject to applicable service law.,"State traffic, registration, and on-demand network requirements.",True,False,https://www.oklegislature.gov/BillInfo.aspx?Bill=SB1541&Session=2200,Oklahoma SB 1541 (2022),primary,2026-09-23
OR,Oregon,"Task force, no general operating law",Oregon established an AV task force. A 2026 proposal to permit operation without ordinary driving privileges failed.,General vehicle law while broader AV operation proposals remain unenacted.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
PA,Pennsylvania,Self-certification under PennDOT,Pennsylvania's AV pathway places oversight with PennDOT and requires self-certification. A separate 2025 certificate proposal was pending in the survey.,PennDOT self-certification and state traffic requirements.,True,False,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/75/75.HTM,Pennsylvania Vehicle Code Chapter 85,primary,2026-09-23
RI,Rhode Island,No dedicated AV operating law identified,The 2026 survey identifies no AV-specific statute or new proposal. That does not establish that an individual deployment is authorized.,General motor vehicle and service rules.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
SC,South Carolina,No dedicated AV operating law identified,South Carolina's survey entry identifies no new AV legislation since 2018. Operator status still depends on general vehicle law and any service-specific rules.,General state motor vehicle requirements.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
SD,South Dakota,AV operation and platooning laws,South Dakota added an AV operating statute in 2024 alongside earlier platooning provisions. Commercial freight and passenger services should be assessed under their relevant requirements.,"State AV, commercial-carrier, and traffic rules.",True,False,https://mylrc.sdlegislature.gov/api/Documents/Bill/264493.pdf?Year=2024,South Dakota HB 1095 enrolled (2024),primary,2026-09-23
TN,Tennessee,Automated Vehicles Act,"Tennessee has a general AV operating framework. A 2026 amendment addresses traffic violations committed by AVs, adding a distinct accountability issue to the state's policy picture.",State traffic law and the Automated Vehicles Act.,True,False,https://wapp.capitol.tn.gov/apps/BillInfo/Default?BillNumber=HB0381&ga=110,"Tennessee Automated Vehicles Act, HB 381",primary,2026-09-23
TX,Texas,Commercial operation authorization,Texas authorized AV operation in 2017 and added a mandatory TxDMV authorization for commercial automated-vehicle operation in 2026. The state does not publish a complete public holder roster in the sources reviewed; documented service is distinct from authorization.,TxDMV commercial authorization; traffic-law and insurance requirements.,True,False,https://www.txdmv.gov/AVprogram,Texas DMV Commercial Vehicle Authorization,primary,2026-09-23
UT,Utah,Statutory AV operation,Utah's AV law governs operation of ADS-equipped vehicles subject to state and federal requirements. A 2026 information-request bill failed.,State AV statute and ordinary traffic requirements.,True,False,https://le.utah.gov/xcode/Title41/Chapter26/41-26.html,Utah Code Chapter 41-26,primary,2026-09-23
VT,Vermont,Restrictive testing authorization,"Vermont's AV law addresses testing only, with public comment and an onboard human driver for each approved test. It is not a general driverless passenger-service pathway.",Test-specific approval and public-comment process.,True,False,https://legislature.vermont.gov/statutes/fullchapter/23/041,Vermont Automated Vehicle Testing Act,primary,2026-09-23
VA,Virginia,"Proposed licensing, not enacted","Virginia considered autonomous operation licenses in SB 670, but the measure was continued to 2027 in the survey. Its proposed licenses are not existing permits.",General vehicle law pending any enacted AV-specific licensing framework.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
WA,Washington,Testing self-certification and vehicle registration,Washington distinguishes eligibility to test AVs on public roads from registration of the vehicle itself. Neither alone identifies an operating service area.,State testing self-certification and vehicle registration processes.,True,True,https://dol.wa.gov/vehicles-and-boats/vehicles/vehicle-registration/register-other-vehicles-and-other-services/registering-autonomous-vehicles,Washington DOL AV guidance,primary,2026-09-23
WV,West Virginia,"Personal, commercial, and network operation",West Virginia's AV law accommodates several service types subject to conditions. Driverless operators must submit a law-enforcement interaction plan before operating.,State vehicle rules and law-enforcement interaction plan.,True,False,https://code.wvlegislature.gov/17H-1/,West Virginia Fully Autonomous Vehicle Act,primary,2026-09-23
WI,Wisconsin,Executive-order coordination,"Wisconsin's AV steering committee addressed testing and deployment policy. Proposed 2026 board and permit legislation failed, leaving no such new permit in force.",General vehicle rules and existing agency coordination.,False,True,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
WY,Wyoming,No dedicated AV statute identified,The 2026 guide identifies no AV-specific operating law or new proposal in Wyoming. That finding does not amount to a positive authorization for any proposed service.,General motor vehicle and commercial-carrier rules.,False,False,https://www.bakerdonelson.com/avmap,State law survey (secondary source; verify primary text),secondary,2026-09-23
DC,District of Columbia,Testing pathway,District rules address AV testing with a human behind the wheel; a testing provision is not commercial deployment authorization.,DDOT oversight.,True,False,https://ddot.dc.gov/page/autonomous-vehicles,DDOT AV law and testing guidance,primary,2026-09-23
